wind_speed_m_per_s,wind_direction_deg,yaw_angles_deg_by_turbine
9.000000,252.500000,"[-3.2291666666666665, -5.208333333333334, 0.0, 0.0, -10.291666666666668, -3.5833333333333335, -6.270833333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -7.6875, 0.0, 0.0]"
9.000000,257.500000,"[-10.5625, -11.229166666666666, -4.6875, -4.0, -17.5, -8.0, -11.208333333333332, -4.354166666666666, 0.0, 0.0, 0.0, 5.291666666666666, 3.208333333333333, 0.0, -12.6875, 0.0, 0.0]"
9.000000,262.500000,"[-19.854166666666664, -20.0, -10.0, 2.8333333333333335, 16.333333333333332, 7.1875, 12.0, -9.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 0.0]"
9.000000,267.500000,"[19.75, 18.291666666666664, 13.3125, 0.0, 16.0, 5.0, 6.166666666666667, 10.041666666666668, 0.0, 0.0, 0.0, 0.0, 5.166666666666667, 0.0, 4.895833333333334, -2.791666666666667, 0.0]"
9.000000,272.500000,"[15.3125, 10.1875, 11.708333333333332, -4.0, 7.375, 0.0, 0.0, 16.854166666666664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.291666666666666, 0.0]"
9.000000,277.500000,"[7.145833333333334, 1.7083333333333335, 6.770833333333333, -9.916666666666666, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.5833333333333335, 6.9375, -6.854166666666666]"
9.000000,282.500000,"[0.0, 2.3125, 0.0, 3.0, 0.0, 0.0, 0.0, 2.375, 0.0, 0.0, 0.0, -10.125, -4.0, 0.0, -2.5, 10.333333333333334, -13.229166666666666]"
9.000000,287.500000,"[-7.104166666666666, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.291666666666666, 3.5833333333333335, 0.0, 3.6875, 3.5, 9.666666666666666]"
9.000000,292.500000,"[5.666666666666667, 0.0, 0.0, 0.0, 0.0, -3.6875, 0.0, 0.0, 0.0, 0.0, 0.0, 7.583333333333333, 0.0, 0.0, 0.0, 0.0, 12.354166666666668]"
9.000000,297.500000,"[6.645833333333334, 0.0, 0.0, 0.0, 0.0, -11.645833333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -9.5625, 0.0, -2.291666666666667, 2.0, 3.5]"
9.000000,302.500000,"[0.0, -4.770833333333333, -2.5, -8.708333333333332, 0.0, -13.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.0625, 0.0, -4.0, -6.229166666666667, 0.0]"
9.000000,307.500000,"[-3.0, 0.0, -9.166666666666666, 8.708333333333332, 0.0, 14.458333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.75, 0.0, 4.75, -1.7083333333333333, 0.0]"
11.000000,97.500000,"[0.0, 0.0, 2.854166666666667, -10.291666666666668, 8.5, -9.833333333333334, -9.8125, 0.0, -9.833333333333334, 9.833333333333334, -9.833333333333334, 0.0, 0.0, 9.833333333333334, 0.0, 0.0, 0.0]"
11.000000,237.500000,"[0.0, 3.7291666666666665, 0.0, 0.0, 9.833333333333334, 16.0, -9.833333333333334, -9.833333333333334, 0.0, 0.0, 0.0, 9.833333333333334, 9.833333333333334, 9.833333333333334, -9.833333333333334, -9.833333333333334, 0.0]"
11.000000,242.500000,"[0.0, 0.0, 0.0, 4.0, 9.833333333333334, 0.0, 9.729166666666666, 9.833333333333334, 0.0, 0.0, 0.0, -9.833333333333334, -9.833333333333334, 9.8125, 9.833333333333334, 9.833333333333334, 2.5]"
11.000000,247.500000,"[0.0, 6.583333333333333, 0.0, -8.916666666666666, 9.833333333333334, 0.0, 6.895833333333334, -9.833333333333334, 0.0, 0.0, 0.0, -9.833333333333334, -9.833333333333334, 8.625, -9.833333333333334, 9.833333333333334, 0.0]"
11.000000,252.500000,"[0.0, -17.791666666666664, 0.0, 0.0, -9.708333333333332, 0.0, -3.3125, 9.833333333333334, 0.0, 0.0, 0.0, -9.833333333333334, -9.833333333333334, 0.0, -9.833333333333334, -9.833333333333334, 0.0]"
11.000000,257.500000,"[-17.291666666666664, 0.0, 0.0, -20.0, -13.708333333333332, -6.791666666666666, -11.5, -17.854166666666664, 0.0, 0.0, 0.0, -17.854166666666664, -17.854166666666664, 0.0, -17.854166666666664, -17.854166666666664, 0.0]"
11.000000,262.500000,"[-17.375, -20.0, 0.0, -18.291666666666664, 20.0, -20.0, 10.125, -20.0, 0.0, 0.0, 0.0, -20.0, 20.0, 0.0, -20.0, -20.0, -8.0]"
